file,id1,id2,number of masks,areas median,areas sd,eccentricity median,eccentricity sd,solidity median,solidity sd,perimeter median,perimeter sd,major_length median,major_length sd,minor_length median,minor_length sd,roundness median,roundness sd,R_median median,R_median sd,G_median median,G_median sd,B_median median,B_median sd,R_sd median,R_sd sd,G_sd median,G_sd sd,B_sd median,B_sd sd
OneDrive_3_23-03-2023/NGB100187_1_2_SD_seed_1.png,NGB100187,100187,144,9873.0,1681.1461634371672,0.4297261436788862,0.11320345484511551,0.9882186696358786,0.009265462276606833,375.41273426595797,32.58230580273325,119.82307176475508,10.95905034385821,105.69164541239098,9.608702082334341,0.8967729246800802,0.030656674338796496,201.0,12.67897907627687,166.0,12.13779582464254,116.5,16.424067705656842,201.0,12.67897907627687,166.0,12.13779582464254,116.5,16.424067705656842
OneDrive_3_23-03-2023/NGB101164_1_2_SD_seed_1.png,NGB101164,101164,147,9327.0,1733.216682711776,0.5076551043729902,0.11024176565892353,0.9862827034883721,0.006442232453966397,369.01933598375615,32.741547850869914,119.71671806099468,10.772304522719313,100.48932970826452,11.271346766150392,0.8856814261295326,0.02288964271126597,43.0,13.402897111399417,37.0,8.518912383811887,40.0,6.3459726135014245,43.0,13.402897111399417,37.0,8.518912383811887,40.0,6.3459726135014245
OneDrive_3_23-03-2023/NGB100102_1_6_SSD_seed_1.png,NGB100102,100102,12,15510.0,6045.243627913877,0.4767476183403885,0.1549027722599509,0.9884878456950216,0.025254532883247163,464.9604614807105,119.37251870566931,148.16550757845,35.341080435895684,133.2148174965783,38.90577602845929,0.8855851236790132,0.06766822219063166,217.5,3.39934634239519,182.0,7.872243785746362,120.5,10.299339245256897,217.5,3.39934634239519,182.0,7.872243785746362,120.5,10.299339245256897
OneDrive_3_23-03-2023/NGB100105_1_2_SD_seed_1.png,NGB100105,100105,109,12508.0,2129.3709125684636,0.5602516253499396,0.10991747288937675,0.9868169833621239,0.005136945451089949,427.9898987322333,37.66000987435781,139.3008330193699,14.900002938041808,115.760405924033,9.220103905904294,0.8716910441286547,0.021819337705400038,215.0,7.254844934175906,177.0,8.353411269760645,126.0,10.698585215453594,215.0,7.254844934175906,177.0,8.353411269760645,126.0,10.698585215453594
OneDrive_3_23-03-2023/NGB100462_1_2_SD_seed_1.png,NGB100462,100462,161,8926.0,1769.7405362813765,0.46258073314222165,0.11977598095047343,0.9839089112637621,0.00921321712036003,359.58787847867995,38.548162281234546,113.42920572077362,13.559768952653958,99.72504154342367,10.809019167477143,0.8685902361013058,0.030610947795654417,132.0,12.363013517616077,85.0,12.460896748001765,48.0,7.642710127529223,132.0,12.363013517616077,85.0,12.460896748001765,48.0,7.642710127529223
OneDrive_3_23-03-2023/NGB100234_1_2_SD_seed_1.png,NGB100234,100234,232,6195.0,1001.241534995487,0.48462542390032837,0.10602134737347275,0.984581312301118,0.014017442724328828,297.492424049175,23.57477494179057,96.03015479964682,7.956527541125846,83.04745223915072,7.8205543336144885,0.8896038105421549,0.028591952991380513,126.0,9.202772700605676,100.0,9.946549146448282,59.0,7.392310495303712,126.0,9.202772700605676,100.0,9.946549146448282,59.0,7.392310495303712
OneDrive_3_23-03-2023/NGB101036_1_2_SD_seed_1.png,NGB101036,101036,180,7872.5,1560.3813402518542,0.46159029545559893,0.1383659934806561,0.9859514712686821,0.03947243090083696,338.0279579551077,31.284930755374585,108.16188044893048,11.241381680705603,94.40262613294612,10.657711704033893,0.8855442900188495,0.06298269840136451,163.0,9.659665408411884,154.0,8.510008631815849,101.0,11.144084407610642,163.0,9.659665408411884,154.0,8.510008631815849,101.0,11.144084407610642
OneDrive_3_23-03-2023/NGB100102_1_11_SSD_seed_1.png,NGB100102,100102,8,14193.5,1034.2570325480026,0.5324662652490206,0.07509578105484875,0.9859710676842777,0.004091705831762094,448.56706319850866,16.925557987917195,142.71446733150532,3.7679393625318,124.96326331872454,7.274438179789173,0.8812306987335263,0.007531646864008002,220.5,7.540515565927836,185.0,9.082951062292475,115.5,10.036651583072912,220.5,7.540515565927836,185.0,9.082951062292475,115.5,10.036651583072912
OneDrive_3_23-03-2023/NGB100019_1_2_SD_seed_1.png,NGB100019,100019,146,8172.0,2001.228252669168,0.4087222738053251,0.13970333681618755,0.9869725204219297,0.036539815440547636,340.58430714121175,38.88259874223992,108.03768922700573,12.581825015424455,98.40458741389952,13.168015072553612,0.8956017493415227,0.06015420788791114,134.0,16.612492332051037,79.0,14.546450468834633,38.0,10.433942389202521,134.0,16.612492332051037,79.0,14.546450468834633,38.0,10.433942389202521
OneDrive_3_23-03-2023/NGB101255_1_2_SD_seed_1.png,NGB101255,101255,88,15090.5,2839.6535657453733,0.5652213220068563,0.15400698207725583,0.9802165773797169,0.016344351289099033,476.7300141024109,44.256262099249014,153.81410190568755,17.301779930680187,124.09529726072105,15.079725752382535,0.8469894250736095,0.04478625422254653,91.5,10.924178723598581,55.0,11.145676764431583,29.0,5.260762286466738,91.5,10.924178723598581,55.0,11.145676764431583,29.0,5.260762286466738
OneDrive_3_23-03-2023/NGB101060_1_2_SD_seed_1.png,NGB101060,101060,390,3711.5,743.8871691641644,0.43965631875246214,0.15103514132881374,0.9815976249537888,0.014438980571406565,229.7228714274745,23.29944649368427,73.47323178815248,7.681554697841001,65.00815976473831,7.506765271497111,0.8904532221884618,0.03603760760747414,112.0,13.451448049749457,76.0,11.001382750339198,46.0,5.462943872381833,112.0,13.451448049749457,76.0,11.001382750339198,46.0,5.462943872381833
OneDrive_3_23-03-2023/NGB101184_1_2_SD_seed_1.png,NGB101184,101184,160,9034.5,2111.855960174234,0.5158941525780633,0.12917342597937392,0.9793299996680764,0.029591712834673052,365.2914139223983,38.55896145718648,118.20978264511966,12.950011401004028,99.32331616969077,13.486030312879398,0.8553110730095261,0.053786949995518994,168.0,14.88155186590095,161.0,13.435783320577181,106.0,14.549377134434312,168.0,14.88155186590095,161.0,13.435783320577181,106.0,14.549377134434312
OneDrive_3_23-03-2023/NGB100102_1_7_SSD_seed_1.png,NGB100102,100102,7,14116.0,1460.9268793949873,0.4404228165095696,0.0895759329212989,0.9870953942677884,0.0015939831395965216,450.2914139223983,23.047801273508433,144.83119174730174,5.267766614418487,124.5794825349606,9.210865394088016,0.8748511795838801,0.005798280183352638,223.0,9.9713876380658,191.0,11.306490821376789,138.0,12.555184310125618,223.0,9.9713876380658,191.0,11.306490821376789,138.0,12.555184310125618
OneDrive_3_23-03-2023/NGB100657_1_2_SD_seed_1.png,NGB100657,100657,136,10037.0,1928.3032171033847,0.5290600130720444,0.12332705153514958,0.9814444133677338,0.01382880884985933,384.19090885900994,36.3393285788373,123.94548815287928,12.199783295547148,102.98199055925573,11.96576232548029,0.8574932009878826,0.03628217587257643,200.5,22.292312077668527,169.0,13.888613991896994,105.0,22.338593499044897,200.5,22.292312077668527,169.0,13.888613991896994,105.0,22.338593499044897
OneDrive_3_23-03-2023/NGB101132_1_2_SD_seed_1.png,NGB101132,101132,181,7563.0,1836.0267746763745,0.5607108621572157,0.15722207156806556,0.9709042076991943,0.02750182842494251,345.1198410471445,43.29904223900055,111.93558924835143,17.24408215364658,89.21007554002028,12.054610987084544,0.8052516128727859,0.06154670453476251,119.0,17.68201467738303,72.0,16.540868559802917,39.0,9.641794191546289,119.0,17.68201467738303,72.0,16.540868559802917,39.0,9.641794191546289
OneDrive_3_23-03-2023/NGB100102_1_10_SSD_seed_1.png,NGB100102,100102,5,15610.0,874.6961529582716,0.5450911327195855,0.0749807560366155,0.9888843426077468,0.0009338028079423755,471.7300141024109,11.485625193948277,154.01136756193884,4.050020004119078,133.2760883658527,6.094209478459052,0.8815069654694412,0.007110439387584374,222.0,2.8705400188814645,191.0,7.08801805866774,136.0,9.474175425861608,222.0,2.8705400188814645,191.0,7.08801805866774,136.0,9.474175425861608
